run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,benchmark,modalities
7245178471.13062-55a46b78-2f7b,resenc_VF_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-27-42,finished,2025-08-10T10:28:14Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245178471.13062-55a46b78-2f7b,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,0.53125,0.375,0.5,0.25,1.0,1.0,1.0,1.0,0.5083333253860474,0.25,0.375,0.3333333432674408,ResEncoder_Classifier,7e-05,2.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245178810.88653-4b01b1c5-2a60,resenc_time_conditioned_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-32-24,finished,2025-08-10T10:33:22Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245178810.88653-4b01b1c5-2a60,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,200.0,0.6770833730697632,0.625,0.625,0.625,0.9268293380737304,0.9272727966308594,0.7545454502105713,0.7681159377098083,0.429166704416275,0.125,0.125,0.1428571492433548,ResEncTimeConditioned,5e-05,2.0,200.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245178106.40129-8806696b-3d0b,resenc_VoCo_pretrained_multi_t1_t1gd_t2_flair_2025-08-10_10-33-50,finished,2025-08-10T10:34:27Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245178106.40129-8806696b-3d0b,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,180.0,0.7520833015441895,0.625,0.75,0.7777777910232544,1.0,1.0,1.0,1.0,0.429166704416275,0.125,0.375,0.3333333432674408,ResEncoder_Classifier,7e-05,2.0,180.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7245053671.39891-86df0a0e-e6be,resenc_emdae_bottleneck_flow_pretrained_multi_t1_t1gd_t2_flair_2025-08-11_21-07-34,finished,2025-08-11T21:08:05Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7245053671.39891-86df0a0e-e6be,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,200.0,0.8916666507720947,0.875,0.625,0.625,1.0,1.0,1.0,1.0,0.6166666746139526,0.5,0.375,0.3333333432674408,ResEncoder_Classifier,7e-05,4.0,200.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7244836569.26446-bc108e85-2f78,resenc_SwinUNETR_pretrained_multi_t1_t1gd_t2_flair_2025-08-14_09-25-59,finished,2025-08-14T09:26:30Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7244836569.26446-bc108e85-2f78,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,100.0,0.53125,0.375,0.5,0.4000000059604645,0.950034499168396,0.9454545974731444,0.8999999761581421,0.9227052927017212,0.7520833015441895,0.625,0.75,0.7777777910232544,ResEncoder_Classifier,0.0001,2.0,100.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7244836808.91320-a0998953-bac7,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-14_09-27-30,finished,2025-08-14T09:28:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7244836808.91320-a0998953-bac7,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,100.0,1.0,1.0,0.5,0.4000000059604645,1.0,1.0,0.8999999761581421,0.9227052927017212,0.75,0.75,0.375,0.3333333432674408,ResEncoder_Classifier,0.0001,2.0,100.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7244835056.54565-890dec6f-d2af,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-14_09-52-18,finished,2025-08-14T09:52:49Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7244835056.54565-890dec6f-d2af,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,100.0,0.75,0.75,0.5,0.4000000059604645,0.9795454740524292,0.9818181991577148,0.8999999761581421,0.9227052927017212,0.7520833015441895,0.625,0.5,0.485714316368103,ResEncoder_Classifier,0.0001,2.0,100.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7244834751.76695-439bade6-e107,resenc_VoCo_pretrained_multi_t1_t1gd_t2_flair_2025-08-14_09-57-05,finished,2025-08-14T09:57:44Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7244834751.76695-439bade6-e107,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,100.0,0.6166666746139526,0.5,0.5,0.4000000059604645,0.938039481639862,0.9272727370262146,0.8545454740524292,0.8545454740524292,0.8916666507720947,0.875,0.75,0.7777777910232544,ResEncoder_Classifier,0.0001,2.0,100.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7244832997.18684-32b7f6b3-2094,resenc_SimCLR_pretrained_multi_t1_t1gd_t2_flair_2025-08-14_10-25-44,finished,2025-08-14T10:26:14Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7244832997.18684-32b7f6b3-2094,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,100.0,1.0,1.0,0.75,0.7777777910232544,0.9100524187088012,0.9090909361839294,0.7545454502105713,0.7681159377098083,0.6166666746139526,0.5,0.5,0.4000000059604645,ResEncoder_Classifier,0.0001,2.0,100.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
7244832918.85954-6265004c-eaaf,resenc_pretrained_multi_t1_t1gd_t2_flair_2025-08-14_11-00-02,finished,2025-08-14T10:27:20Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair/runs/7244832918.85954-6265004c-eaaf,july_stratified_tcga_gbm_dss_1year_multi_t1_t1gd_t2_flair,100.0,0.7520833015441895,0.625,0.5,0.485714316368103,0.8980574607849121,0.8909090757369995,0.7090909481048584,0.7090909481048584,0.550000011920929,0.375,0.375,0.3333333432674408,ResEncoder_Classifier,0.0001,2.0,100.0,tcga_gbm_dss_1year,t1_t1gd_t2_flair
