benchmark,modality,run_id,run_name,created_at,state,noise_type,masking_ratio,test_auroc,test_ap,test_f1,test_balanced_acc,test_loss,val_auroc,val_ap,val_f1,val_balanced_acc,val_loss,train_auroc,train_ap,train_loss,notes,tags
upenn_gbm_survival_1year,t2,7245317961.13226-92d86327-f3e8,resenc_MDAE_pretrained_t2_2025-08-08_19-46-05,2025-08-08T19:46:39Z,finished,Flow,90,0.6320754289627075,0.6416367292404175,0.5658462643623352,0.5685436129570007,0.6725402474403381,0.6123231649398804,0.6134010553359985,0.5547423362731934,0.5564563274383545,0.7998278141021729,0.9111307859420776,0.9124757051467896,0.5092844367027283,MDAE ablation Noise Corruption Flow M90 on upenn_gbm survival_1year with t2,
ucsf_pdgm_idh_classification,flair,7245319138.06530-b11d3e3e-ff04,resenc_MDAE_pretrained_flair_2025-08-08_19-26-33,2025-08-08T19:27:13Z,finished,VE,90,0.7124541997909546,0.6883201003074646,0.5758008360862732,0.569597065448761,0.5889277458190918,0.7884972095489502,0.7458328008651733,0.6348893046379089,0.612554132938385,0.5794315934181213,0.9985867738723756,0.9974938035011292,0.35539573431015015,MDAE ablation Noise Corruption VE M90 on ucsf_pdgm idh_classification with flair,
ucsf_pdgm_idh_classification,flair,7245318316.56758-4a64a0db-1bd2,resenc_MDAE_pretrained_flair_2025-08-08_19-40-10,2025-08-08T19:40:44Z,finished,Flow,90,0.7564102411270142,0.7250179052352905,0.532670795917511,0.5476190447807312,0.5912668108940125,0.8274582624435425,0.8184494972229004,0.7714856863021851,0.7532467842102051,0.5063830614089966,0.9980921745300292,0.9966620206832886,0.35770076513290405,MDAE ablation Noise Corruption Flow M90 on ucsf_pdgm idh_classification with flair,
ucsf_pdgm_idh_classification,flair,7245319952.63234-eb36ee18-e059,resenc_MDAE_pretrained_flair_2025-08-08_20-14-21,2025-08-08T20:14:55Z,finished,VP,90,0.7148962020874023,0.6684154868125916,0.6162008047103882,0.5998168587684631,0.6272398233413696,0.8361162543296814,0.7592734098434448,0.6666666865348816,0.6363636255264282,0.5674591064453125,0.9903194308280944,0.9885352849960328,0.3673400580883026,MDAE ablation Noise Corruption VP M90 on ucsf_pdgm idh_classification with flair,
upenn_gbm_idh1_status,t2,7245319697.26931-9dbcd1f1-4301,resenc_MDAE_pretrained_t2_2025-08-08_19-17-05,2025-08-08T19:17:38Z,finished,VP,90,0.4629356861114502,0.49237173795700073,0.45116278529167175,0.5,0.602757453918457,0.8417658805847168,0.76728355884552,0.626072347164154,0.6034226417541504,0.49494704604148865,0.8950592279434204,0.8525797724723816,0.46531715989112854,MDAE ablation Noise Corruption VP M90 on upenn_gbm idh1_status with t2,
upenn_gbm_idh1_status,t2,7245318899.96232-99f59e38-1d6d,resenc_MDAE_pretrained_t2_2025-08-08_19-31-30,2025-08-08T19:32:04Z,finished,VE,90,0.4950908422470093,0.5335333347320557,0.45116278529167175,0.5,0.5715858936309814,0.7966269850730896,0.7601985931396484,0.6859903335571289,0.6428571343421936,0.5094270706176758,0.9488343000411988,0.9190287590026855,0.4240074753761291,MDAE ablation Noise Corruption VE M90 on upenn_gbm idh1_status with t2,
upenn_gbm_idh1_status,t2,7245318076.69567-fba0f22e-ccf2,resenc_MDAE_pretrained_t2_2025-08-08_19-44-12,2025-08-08T19:44:46Z,finished,Flow,90,0.5763377547264099,0.5477495789527893,0.45116278529167175,0.5,0.5944363474845886,0.8239086866378784,0.7342413067817688,0.5419328212738037,0.5476190447807312,0.508914053440094,0.8923932313919067,0.8093427419662476,0.4738948345184326,MDAE ablation Noise Corruption Flow M90 on upenn_gbm idh1_status with t2,
ucsf_pdgm_idh_classification,t2,7245319151.67856-7327e468-2b38,resenc_MDAE_pretrained_t2_2025-08-08_19-26-54,2025-08-08T19:27:35Z,finished,VE,90,0.7960927486419678,0.7121696472167969,0.6092105507850647,0.6025640964508057,0.5467411279678345,0.8110698461532593,0.7888794541358948,0.7714856863021851,0.7532467842102051,0.5392490029335022,0.9965376257896424,0.9937029480934144,0.3630344271659851,MDAE ablation Noise Corruption VE M90 on ucsf_pdgm idh_classification with t2,
ucsf_pdgm_idh_classification,t2,7245318329.09604-7582aa07-74c5,resenc_MDAE_pretrained_t2_2025-08-08_19-39-52,2025-08-08T19:40:26Z,finished,Flow,90,0.7136752605438232,0.7282390594482422,0.635477602481842,0.6126373410224915,0.5464059710502625,0.7946815490722656,0.7849617600440979,0.6851405501365662,0.6536796689033508,0.5340772867202759,0.9559779167175292,0.9479183554649352,0.4068955183029175,MDAE ablation Noise Corruption Flow M90 on ucsf_pdgm idh_classification with t2,
ucsf_pdgm_idh_classification,t2,7245319965.45193-29666988-722b,resenc_MDAE_pretrained_t2_2025-08-08_20-07-07,2025-08-08T20:07:46Z,finished,VP,90,0.7399266958236694,0.7017159461975098,0.6553797721862793,0.6501831412315369,0.615181028842926,0.8017934560775757,0.7288658618927002,0.7069377899169922,0.7142857313156128,0.5872606039047241,0.9854437112808228,0.9814069271087646,0.37608346343040466,MDAE ablation Noise Corruption VP M90 on ucsf_pdgm idh_classification with t2,
brats18_lgg_vs_hgg,flair,7245537119.89039-88062419-1566,resenc_MDAE_pretrained_flair_2025-08-06_06-55-25,2025-08-06T06:56:07Z,finished,Flow,90,0.5365079641342163,0.541961133480072,0.4631578922271729,0.49761903285980225,0.7638288140296936,0.4555555582046509,0.4988776743412018,0.4477113485336304,0.46190476417541504,0.9938042759895324,0.9973545074462892,0.9957536458969116,0.3606334328651428,MDAE ablation Noise Corruption Flow M90 on brats18 lgg_vs_hgg with flair,
brats18_lgg_vs_hgg,flair,7245537177.50405-7d2d5215-64ea,resenc_MDAE_pretrained_flair_2025-08-06_06-57-35,2025-08-06T06:58:11Z,finished,VE,90,0.4920634627342224,0.517200231552124,0.4904780387878418,0.49047619104385376,0.6943361759185791,0.5190476179122925,0.5476265549659729,0.4309178590774536,0.4595237970352173,0.9541244506835938,0.9991182088851928,0.9987301826477052,0.35258328914642334,MDAE ablation Noise Corruption VE M90 on brats18 lgg_vs_hgg with flair,
