benchmark,run_name,pattern,auroc,modality
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-01_04-33-28,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w,0.942883849143982,T2w
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w_2025-07-31_08-32-27,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w,0.9417603015899658,T2w
brats23_gli_vs_met,resenc_MDAE_pretrained_t2w_2025-08-08_19-37-10,resenc_MDAE_pretrained_t2w,0.9399812817573548,T2w
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f_2025-07-31_08-32-36,resenc_multimodal_mm_mdae_pretrained_pretrained_t2f,0.939185380935669,T2f
brats23_gli_vs_met,resenc_MDAE_pretrained_t1c_2025-08-08_19-37-09,resenc_MDAE_pretrained_t1c,0.9387640953063964,T1c
brats23_gli_vs_met,resenc_MDAE_pretrained_t2w_2025-08-08_19-29-21,resenc_MDAE_pretrained_t2w,0.932584285736084,T2w
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n_2025-08-05_16-29-07,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n,0.929915726184845,T1n
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-31_08-26-28,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c,0.9291666746139526,T1c
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-01_21-07-49,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c,0.9249999523162842,T1c
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-02_10-10-31,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c,0.9230337142944336,T1c
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-07-31_23-32-27,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c,0.9216760396957396,T1c
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-05_16-26-33,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c,0.9176030158996582,T1c
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-01_06-57-14,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c,0.916947603225708,T1c
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-02_09-24-11,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c,0.916947603225708,T1c
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t1c_2025-08-05_16-31-21,resenc_multimodal_mm_mdae_pretrained_pretrained_t1c,0.914981245994568,T1c
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-05_11-12-55,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c,0.9038857221603394,T1c
brats23_gli_vs_met,resenc_multimodal_mm_mdae_pretrained_pretrained_t1c_2025-08-05_11-27-32,resenc_multimodal_mm_mdae_pretrained_pretrained_t1c,0.9038857221603394,T1c
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-07-31_08-26-30,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w,0.8897939920425415,T2w
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-02_09-24-29,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n,0.8842228651046753,T1n
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-01_06-57-16,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n,0.8842228651046753,T1n
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-01_05-17-15,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f,0.8830524682998657,T2f
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-01_04-33-01,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c,0.8756085634231567,T1c
brats23_gli_vs_met,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f_2025-08-01_04-33-30,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2f,0.8675562143325806,T2f
