run_id,run_name,project,modality,model,learning_rate,batch_size,epochs,epoch,Test_Balanced_Accuracy,Test_F1,Test_AUROC,Test_AP,Val_Balanced_Accuracy,Val_F1,Val_AUROC,Val_AP,wandb_notes
7246051045.31695-7db84eaa-fdaf,resenc_multimodal_mm_mdae_pretrained_pretrained_t1c_2025-07-31_08-07-46,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoderMultiModal_Classifier,2e-05,4,100,100.0,0.5,0.3418803513050079,0.941216230392456,0.9286444187164308,0.8548163175582886,0.855037271976471,0.929313898086548,0.9315185546875,
7245589359.98004-b25c1423-fbec,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-05_16-29-52,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,7e-05,4,180,180.0,0.9114865064620972,0.9090295433998108,0.9391891956329346,0.9308813810348512,0.8711018562316895,0.8675957918167114,0.9882189035415648,0.9889557361602784,
7246051029.64417-0b936bd1-1a20,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w_2025-07-31_08-07-57,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncoderMultiModal_Classifier,2e-05,4,100,100.0,0.5,0.3418803513050079,0.9378378391265868,0.9366117715835572,0.9743589758872986,0.9736841917037964,0.9958419799804688,0.996033787727356,
7245607477.68071-14413bfd-4b50,resenc_multimodal_mm_mdae_pretrained_pretrained_t2w_2025-08-05_11-27-10,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncoderMultiModal_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.9371621608734132,0.9345823526382446,0.9736659526824952,0.9736659526824952,0.9993070363998412,0.9993239045143129,
7245977439.59602-b5e3d22c-b8ee,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2w_2025-08-01_04-34-20,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncoder_Classifier,2e-05,4,200,200.0,0.5,0.3418803513050079,0.9364864826202391,0.9296802282333374,0.9864864945411682,0.9868215322494508,0.9937629699707032,0.9941343069076538,
7245829127.55877-6ade02f7-2b53,resenc_time_conditioned_pretrained_t2w_2025-08-02_21-46-18,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncTimeConditioned,0.0001,4,200,200.0,0.5,0.3245614171028137,0.9351351261138916,0.929806113243103,0.934511423110962,0.9341990947723388,0.9861400127410888,0.986961305141449,
7245970731.04528-2b440b0a-47f3,resenc_time_conditioned_pretrained_t1n_2025-08-01_06-35-41,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncTimeConditioned,0.0001,4,200,200.0,0.5,0.3418803513050079,0.9351351261138916,0.9326659440994264,0.8839223980903625,0.8810641765594482,0.919611930847168,0.9260149598121644,
7245977473.87131-baf37406-7a97,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1n_2025-08-01_04-33-53,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,2e-05,4,200,200.0,0.8374999761581421,0.8282724618911743,0.9347972869873048,0.9361194372177124,0.8967429399490356,0.894444465637207,0.9785169363021852,0.9790081977844238,
7245318456.01713-65419726-53fa,resenc_MDAE_pretrained_t2f_2025-08-08_19-42-58,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoder_Classifier,6e-05,4,200,200.0,0.7327702641487122,0.7269504070281982,0.9344594478607178,0.9227907657623292,0.8967429399490356,0.894444465637207,0.9722799062728882,0.9734642505645752,
7246051062.68044-9056de4e-cd2f,resenc_multimodal_mm_mdae_pretrained_pretrained_t1n_2025-07-31_08-07-26,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoderMultiModal_Classifier,2e-05,4,100,100.0,0.8500000238418579,0.8419972658157349,0.93310809135437,0.93445086479187,0.8825364112854004,0.8815584182739258,0.9591130018234252,0.9598170518875122,
7245697163.96905-7722e286-2c5b,resenc_SwinUNETR_pretrained_t2f_2025-08-04_10-25-39,july_stratified_brats23_men_vs_met_single_t2f,T2f,ResEncoder_Classifier,8e-05,4,200,200.0,0.5,0.3418803513050079,0.9317567348480223,0.9274343848228456,0.9615384340286256,0.9605194330215454,1.0,1.0,
7245318469.70323-2faf6d69-c120,resenc_MDAE_pretrained_t2w_2025-08-08_19-42-55,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncoder_Classifier,6e-05,4,200,200.0,0.757770299911499,0.7510775923728943,0.9317567348480223,0.9104723930358888,0.9871795177459716,0.9868398308753968,1.0,1.0,
7245606125.28373-1344e927-936f,resenc_SwinUNETR_pretrained_t1c_2025-08-05_15-34-08,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.9310810565948486,0.9230618476867676,0.9487179517745972,0.9473319053649902,0.9965349435806274,0.9966640472412108,
7245697201.29066-d10bff8f-0fdd,resenc_SwinUNETR_pretrained_t1c_2025-08-04_10-25-21,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,8e-05,4,200,200.0,0.5,0.3418803513050079,0.9304053783416748,0.9217389822006226,0.9608454704284668,0.9605194330215454,0.9923770427703856,0.9926882982254028,
7245874549.76874-1e1485e2-1e15,resenc_pretrained_t1n_2025-08-02_09-09-20,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncoder_Classifier,0.0001,4,200,200.0,0.5,0.3245614171028137,0.9290540218353271,0.9232012033462524,0.9871795177459716,0.9868398308753968,0.9993070363998412,0.9993239045143129,
7245586788.15987-fbb3cf4f-7a5c,resenc_SwinUNETR_pretrained_t1c_2025-08-05_17-11-29,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,7e-05,4,180,180.0,0.5,0.3418803513050079,0.9270269870758056,0.9186617136001588,0.9743589758872986,0.9736841917037964,0.9965349435806274,0.9966635704040528,
7245970704.72297-721d3d78-3cde,resenc_time_conditioned_pretrained_t2w_2025-08-01_06-35-39,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncTimeConditioned,0.0001,4,200,200.0,0.5,0.3245614171028137,0.9263513088226318,0.909257709980011,1.0,1.0,1.0,1.0,
7245589344.97266-a7f4e5ab-c098,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-05_16-29-58,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,7e-05,4,180,180.0,0.887499988079071,0.8824028968811035,0.9263513088226318,0.8991571664810181,0.8825364112854004,0.8815584182739258,0.9341649413108826,0.9232043027877808,
7245974857.93655-0b629c99-cd72,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1c_2025-08-01_05-17-41,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncoder_Classifier,2e-05,1,200,200.0,0.637499988079071,0.5749095678329468,0.9256756901741028,0.9168137907981871,0.8562023639678955,0.8552380800247192,0.966042935848236,0.968299388885498,
7245829153.85660-78a42ee4-108e,resenc_time_conditioned_pretrained_t1n_2025-08-02_21-45-54,july_stratified_brats23_men_vs_met_single_t1n,T1n,ResEncTimeConditioned,0.0001,4,200,200.0,0.5,0.3245614171028137,0.9229729771614076,0.9191811680793762,0.8319473266601562,0.8274838328361511,0.9535689353942872,0.9555073976516724,
7245606111.58557-0333eda1-b1e8,resenc_SwinUNETR_pretrained_t2w_2025-08-05_15-40-57,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncoder_Classifier,3e-05,4,200,200.0,0.5,0.3418803513050079,0.9175676107406616,0.9076952934265136,1.0,1.0,1.0,1.0,
7245995689.19720-4fec4c4c-0c42,resenc_time_conditioned_pretrained_t1c_2025-07-31_23-32-41,july_stratified_brats23_men_vs_met_single_t1c,T1c,ResEncTimeConditioned,5e-05,4,200,200.0,0.7864865064620972,0.773725152015686,0.9175676107406616,0.9218133687973022,0.908177375793457,0.9078788161277772,0.9341648817062378,0.9051179885864258,
7245697176.73717-1debad77-4b91,resenc_SwinUNETR_pretrained_t2w_2025-08-04_10-25-24,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncoder_Classifier,8e-05,4,200,200.0,0.5,0.3418803513050079,0.9145269989967346,0.9013351202011108,0.9864864945411682,0.9868215322494508,1.0,1.0,
7245586774.33545-d1155552-0477,resenc_SwinUNETR_pretrained_t2w_2025-08-05_17-10-22,july_stratified_brats23_men_vs_met_single_t2w,T2w,ResEncoder_Classifier,7e-05,4,180,180.0,0.5,0.3418803513050079,0.911824345588684,0.9006528854370117,1.0,1.0,1.0,1.0,
